Month,Year,NumUsers_Millions,Percentage,InfoSource
December,1995,16,0.40%,IDC
December,1996,36,0.90%,IDC
December,1997,70,1.70%,IDC
December,1998,147,3.60%,C.I. Almanac
December,1999,248,4.10%,Nua Ltd.
March,2000,304,5.00%,Nua Ltd.
July,2000,359,5.90%,Nua Ltd.
December,2000,361,5.80%,Internet World Stats
March,2001,458,7.60%,Nua Ltd.
June,2001,479,7.90%,Nua Ltd.
August,2001,513,8.60%,Nua Ltd.
April,2002,558,8.60%,Internet World Stats
July,2002,569,9.10%,Internet World Stats
September,2002,587,9.40%,Internet World Stats
March,2003,608,9.70%,Internet World Stats
September,2003,677,10.60%,Internet World Stats
October,2003,682,10.70%,Internet World Stats
December,2003,719,11.10%,Internet World Stats
February,2004,745,11.50%,Internet World Stats
May,2004,757,11.70%,Internet World Stats
October,2004,812,12.70%,Internet World Stats
December,2004,817,12.70%,Internet World Stats
March,2005,888,13.90%,Internet World Stats
June,2005,938,14.60%,Internet World Stats
September,2005,957,14.90%,Internet World Stats
November,2005,972,15.20%,Internet World Stats
December,2005,1018,15.70%,Internet World Stats
March,2006,1023,15.70%,Internet World Stats
June,2006,1043,16.00%,Internet World Stats
September,2006,1086,16.70%,Internet World Stats
December,2006,1093,16.70%,Internet World Stats
March,2007,1129,17.20%,Internet World Stats
June,2007,1173,17.80%,Internet World Stats
September,2007,1245,18.90%,Internet World Stats
December,2007,1319,20.00%,Internet World Stats
March,2008,1407,21.10%,Internet World Stats
June,2008,1463,21.90%,Internet World Stats
September,2008,1504,22.50%,Internet World Stats
December,2008,1574,23.50%,Internet World Stats
March,2009,1596,23.80%,Internet World Stats
June,2009,1669,24.70%,Internet World Stats
September,2009,1734,25.60%,Internet World Stats
December,2009,1802,26.60%,Internet World Stats
June,2010,1966,28.70%,Internet World Stats
September,2010,1971,28.80%,Internet World Stats
March,2011,2095,30.20%,Internet World Stats
June,2011,2110,30.40%,Internet World Stats
September,2011,2180,31.50%,Internet World Stats
December,2011,2267,32.70%,Internet World Stats
March,2012,2336,33.30%,Internet World Stats
June,2012,2405,34.30%,Internet World Stats
September,2012,2439,34.80%,Internet World Stats
December,2012,2497,35.70%,I.T.U.
December,2013,2802,39.00%,Internet World Stats
June,2014,3035,42.30%,Internet World Stats
December,2014,3079,42.40%,Internet World Stats
June,2015,3270,45.00%,Internet World Stats
December,2015,3366,46.40%,Internet World Stats
June,2016,3631,49.50%,Internet World Stats
December,2016,3696,49.50%,Internet World Stats
June,2017,3885,51.70%,Internet World Stats
December,2017,4156,54.40%,Internet World Stats
June,2018,4208,55.10%,Internet World Stats
